model,group,layer_1based,kind,logical_parameters,payload_bytes,tensor_count,routed_parameters,attention_parameters,shared_parameters,active_linear_parameters
Kimi-K2-Instruct-0905,decoder,51,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,52,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,53,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,54,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,55,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,56,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,57,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,58,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,59,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,60,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,61,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,embedding,0,,1174405120,2348810240,1,,,,
Kimi-K2-Instruct-0905,final_norm_and_residual,0,,7168,14336,1,,,,
Kimi-K2-Instruct-0905,output_head,0,,1174405120,2348810240,1,,,,1174405120
Kimi-K2-Thinking,decoder,1,MLA + Dense,497500160,995000576,13,,101124096,,497483776
Kimi-K2-Thinking,decoder,2,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,3,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,4,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,5,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,6,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,7,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,8,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,9,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,10,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,11,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,12,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,13,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,14,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,15,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,16,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,17,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,18,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,19,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,20,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,21,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,22,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,23,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,24,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,25,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,26,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,27,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,28,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,29,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,30,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,31,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,32,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,33,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,34,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,35,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,36,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,37,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,38,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,39,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,40,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,41,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,42,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,43,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,44,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
